Phản hồi,Lecturer_Sentiment,Training_Sentiment,Facility_Sentiment,Others_Sentiment
bài tập hay và cụ thể .,,Tích cực 😄,,
"môn tốt nghiệp mà thấy chỉ cho các nhóm thuyết trình xong điểm danh , thầy còn không ý kiến về cả bài thuyết trình .",Tiêu cực 😠,,,
"cô dạy rất nhiệt tình , tận tâm và chu đáo .",Tích cực 😄,,,
"mơ hồ , không chi tiết .",,Tiêu cực 😠,,
nói chung again 10 fraction 10 .,,,,
thời gian .,,,,
thầy dạy chưa đúng với thời gian biểu .,Tiêu cực 😠,,,
"cần có giáo trình với nhiều ví dụ rõ ràng hơn , hiện tại quá ít ví dụ để sinh viên tự học theo .",,Tiêu cực 😠,,
"slide bài giảng , bài tập đầy đủ .",,Tích cực 😄,,
nhưng lại ra đề rất khó .,Tiêu cực 😠,,,
thầy hơi nóng tính .,Tiêu cực 😠,,,
phương pháp giảng dạy gây nhàm chán .,Tiêu cực 😠,,,
"giảng viên lên lớp đúng giờ , chấm điểm công bằng , có những hình thức để khuyến khích sinh viên đến lớp .",Tích cực 😄,,,
"giảng viên nhiệt tình , tận tâm với công việc , slide dễ hiểu .",Tích cực 😄,,,
ít bài tập ôn tập .,,Tiêu cực 😠,,
ít trao đổi với lớp .,,,,
hoạt động seminar chưa tốt .,Tiêu cực 😠,,,
không có tài liệu cụ thể .,,Tiêu cực 😠,,
thầy dễ thương !,Tích cực 😄,,,
quá trình giảng dạy rất dễ hiểu .,Tích cực 😄,,,
dạy nghiêm túc .,Tích cực 😄,,,
cô giảng dễ hiểu .,Tích cực 😄,,,
tổng quan môn học này không đúc kết được gì nhiều dù cho giảng viên có kiến thức tốt .,,,,
giảng viên không đảm bảo giờ lên lớp .,Tiêu cực 😠,,,
"thầy giảng rất hay , rất tận tâm , luôn dạy quá tiết , luôn trả lời thắc mắc của sinh viên .",Tích cực 😄,,,
chú trọng giao tiếp .,,,,
giảng viên giảng dạy tận tâm nhiệt tình và chu đáo .,Tích cực 😄,,,
thầy nên cho làm nhiều bài tập hơn .,Tiêu cực 😠,,,
giang viên quá cứng nhắc .,Tiêu cực 😠,,,
trong khi đề thi lại có 50% bài tập .,,Tiêu cực 😠,,
thầy cung cấp đủ các tài liệu giảng dạy .,Tích cực 😄,,,
"mọi thứ đều tốt , mong thầy chia sẻ thật nhiều kinh nghiệm hơn nữa cho tụi em .",Tiêu cực 😠,,,
"học tập bằng việc ghi trên bảng , khá thú vị .",,Tích cực 😄,,
đảm báo giờ lên lớp và kiến thức .,Tích cực 😄,,,
thầy giảng dạy hay và dễ hiểu .,Tích cực 😄,,,
thêm các ví dụ minh họa để sinh viên dễ hiểu hơn về môn học .,,Tiêu cực 😠,,
"phòng học quá gần khu thi công , ồn ào , mất tập trung .",,,Tiêu cực 😠,
tận tình giúp đỡ các bạn sinh viên .,Tích cực 😄,,,
"thầy dạy rất tận tình , dễ hiểu .",Tích cực 😄,,,
"cô vui tính , dạy nhiệt tình .",Tích cực 😄,,,
ví dụ trường hợp có hai lớp thực hành cách nhau một tuần nhưng lại cho ra một deadline bài tập cùng một thời điểm .,,,,
nên dạy lý thuyết trước rồi thực hành sau .,Tiêu cực 😠,,,
thấy dạy rất hay nhiệt tình .,Tích cực 😄,,,
bài tập .,,Tích cực 😄,,
cô nhiệt tình giải bài tập để sinh viên hiểu lý thuyết kỹ hơn .,Tích cực 😄,,,
sĩ số sinh viên trong lớp quá đông với lại nhiều sinh viên nhiều ngành khác nhau học nên chất lượng buổi học không tốt .,,Tiêu cực 😠,,
dạy cách học hiểu vấn đề chứ không học vẹt .,Tiêu cực 😠,,,
thầy dạy hay và tốt với em .,Tích cực 😄,,,
sự nhiệt tình của cô .,Tích cực 😄,,,
giảng dạy vui vẻ .,Tích cực 😄,,,
rất tận tâm .,Tích cực 😄,,,
"nhìn cô dễ thương , giọng cô nghe rất ngọt .",Tích cực 😄,,,
"cô vui , nhiệt tình , hướng dẫn tận tâm , thân thiện .",Tích cực 😄,,,
bài tập cực kỳ khó .,,Tiêu cực 😠,,
"vui tính , dạy dễ hiểu , đảm bảo tiết học lý thuyết và làm bài tập trên lớp .",Tích cực 😄,,,
"các bài giảng của giáo viên dễ hiểu và dễ tiếp thu , phương pháp dạy vui vẻ và nhiệt tình .",Tích cực 😄,,,
"tổng hợp ôn tập tốt , cô giáo nhiệt tinh .",Tích cực 😄,,,
"thầy dạy rất tốt , đầy đủ về nội dung .",Tích cực 😄,,,
rất hài lòng về tất cả hoạt động giảng dạy .,Tích cực 😄,,,
thầy dạy rất tận tâm và thương sinh viên .,Tích cực 😄,,,
"giờ giấc giảng dạy không đảm bảo , giảng viên hay vắng mặt không báo trước , không up tài liệu giảng dạy lên moodle .",Tiêu cực 😠,,,
"dạy dễ hiểu , dễ gần .",Tích cực 😄,,,
ngoài ra còn nói về một số kiến thức thực tế liên quan đến môn học .,,,,
"thầy giảng bài rất dễ hiểu , bên cạnh đó còn có các câu chuyện của cuộc sống rất ý nghĩa , mong được học nhiều môn thầy dạy !",Tích cực 😄,,,
khó tiếp thu .,,,,
"giảng viên dạy tương đối dễ hiểu , có nhiều ví dụ minh họa cụ thể .",Tích cực 😄,,,
"bài giảng của cô khá trừu tượng , nếu cô có thêm vài ví dụ rõ ràng hơn , thì chúng em sẽ hiểu bài hơn .",Tiêu cực 😠,,,
"thầy dạy khá sát thực tiễn , bài tập nhiều , hay .",Tích cực 😄,,,
"phương pháp giảng dạy hiệu quả , giúp cho sinh viên hiểu rõ được vấn đề .",Tích cực 😄,,,
em nghĩ môn học không cần thiết ạ !,,Tiêu cực 😠,,
cần có thêm nhiều tiết bài tập .,,Tiêu cực 😠,,
bài tập thực hành khá nặng so với lý thuyết tại cùng một thời điểm .,,Tiêu cực 😠,,
"không nên chia giờ học kiểu 2 tiết 1 buổi , như vậy thời lượng học mỗi buổi quá ít , gây gián đoạn cho việc giảng dạy .",Tiêu cực 😠,Tiêu cực 😠,,
"giảng bài dễ hiểu , dễ tiếp thu .",Tích cực 😄,,,
không có gì để không hài lòng .,,,,Tiêu cực 😠
chương trình nên cập nhật thường xuyên để phù hợp hơn với thực tế .,,Tiêu cực 😠,,
"giáo viên vui vẻ , thân thiện .",Tích cực 😄,,,
"tận tâm , nhiệt tình và hay liên hệ thực tiễn .",Tích cực 😄,,,
"cô dạy rất dễ hiểu , tận tình hướng dẫn học sinh .",Tích cực 😄,,,
lớp em học thì máy hay có sự cố .,,,Tiêu cực 😠,
"cô vui vẻ , nhiệt tình , hòa đồng .",Tích cực 😄,,,
thầy cần có nhiều phương pháp giảng dạy hay hơn !,Tiêu cực 😠,,,
"cô dạy tốt tận tình , tài liệu đầy đủ .",Tích cực 😄,,,
"thầy vui tính , nhiệt tình với sinh viên .",Tích cực 😄,,,
giảng viên cần nói nhiều hơn khi dạy .,Tiêu cực 😠,,,
nên có hướng dẫn chi tiết .,Tiêu cực 😠,,,
"giảng viên nhiệt tình , kỹ năng truyền đạt tốt .",Tích cực 😄,,,
"đầu tư vật chất , có nhiều hoạt đông thú vị .",,,Tiêu cực 😠,
nên giảng dạy phương pháp làm bài trước khi đưa ra bài tập .,Tiêu cực 😠,,,
"khoa wzjwz10 với số lượng sinh viên khá đông mà đôi khi lại có thêm những bạn từ khoa khác vào học , nên giảng đường 2 trở nên đông kín .",,Tiêu cực 😠,,
với lại môn học này dạy quá chán .,,Tiêu cực 😠,,
"thầy vui tính , giảng bài hấp dẫn , mới mẻ .",Tích cực 😄,,,
"khi báo cáo đồ án cuối kỳ , thì do sự phân công , và trong một nhóm thì ai cũng có điểm yếu và điểm mạnh nên mới tạo thành một nhóm để giúp đỡ nhau , nhưng thầy làm khó các thành viên .",Tiêu cực 😠,,,
giảng viên tận tình giúp đỡ sinh viên .,Tích cực 😄,,,
thầy rất quan tâm sinh viên luôn cho điểm đúng thực lực .,Tích cực 😄,,,
nhưng em nghĩ thời gian và phòng học nên cố định hơn và được thông báo rõ ràng .,,,Tiêu cực 😠,
"vui vẻ , nhiệt tình , tận tụy .",Tích cực 😄,,,
giải đáp thắc mắc của sinh viên nhanh chóng .,Tích cực 😄,,,
bài giảng mang tính thực tiễn và ứng dụng cao .,,Tích cực 😄,,
"đưa ra ít ví dụ về những trường hợp đặc biệt cần phải lưu ý , nên dành nhiều thời gian cho những phần quan trọng , đưa ra ví dụ song song với việc demo trực tiếp trên máy tính trong lúc giảng dạy như vậy hiệu quả giảng dạy sẽ tốt hơn .",Tiêu cực 😠,,,
dạy học .,Tích cực 😄,,,
em rất mong phòng đào tạo cho em biết được tên giảng viên khi đăng ký môn học để sau nay em còn đc học thầy wzjwz155 .,Tiêu cực 😠,,,
"cô vui tính , tận tình và cách giảng giải dễ hiểu .",Tích cực 😄,,,
"đúng giờ , giảng bài kỹ .",Tích cực 😄,,,
chưa giới thiệu cụ thể các tài liệu cho sinh viên đọc thêm .,Tiêu cực 😠,Tiêu cực 😠,,
ứng dụng thực tế vô giảng dạy .,,Tiêu cực 😠,,
"dạy sát chương trình thi , nhiệt tình .",Tích cực 😄,,,
tổ chức quá nhiều hoạt động thừa trên lớp không phù hợp với trình độ của sinh viên .,,Tiêu cực 😠,,
thầy cho thuyết trình làm đồ án theo nhóm nên giúp em có khả nang truyền đạt kỹ năng work group nâng cao .,Tiêu cực 😠,,,
"thầy dạy nhiệt tình , cho làm nhiều bài tập để hiểu sâu và có khả năng vận dụng được kiến thức .",Tích cực 😄,,,
giáo viên giảng dạy dễ hiểu .,Tích cực 😄,,,
em có góp ý với thầy ở vấn đề thuyết trình lấy điểm giữa kỳ doubledot một số bạn trình bày về công nghệ hay kỹ thuật rất hay nhưng do cách trình bày nên các bạn ở dưới chưa hiểu lắm .,Tiêu cực 😠,,,
"thầy wzjwz184 dạy hay , dễ hiểu , truyền đạ nhiều kiến thức chuyên môn lẫn kiến thức cuộc sống , đi làm cho sinh viên , có nhiều lời khuyên .",Tích cực 😄,,,
"môn lập trình mạng căn bản sử dụng ngôn ngữ csharp nhưng trước đó nhà trường không đề xuất cho sinh viên học môn này trước , gây nhiều khó khăn cho sinh viên khi học môn mới .",,Tiêu cực 😠,,
cô nên thêm nhiều bài tập áp dụng lý thuyết hơn .,Tiêu cực 😠,,,
còn nhiều slide .,Tiêu cực 😠,,,
tăng chất lượng các thiết bị phục vụ giảng dạy .,,,Tiêu cực 😠,
đôi lúc đi trễ tầm 30 phút .,Tiêu cực 😠,,,
"giảng viên thực hành nên hướng dẫn sinh viên thực hành một cách cụ thể , không nên ngồi làm việc riêng rồi khi sinh viên gọi hỏi thì lại tỏ thái độ khó chịu .",Tiêu cực 😠,,,
"thầy đưa ra những dạng bài hay , bao quát kiến thức cho sinh viên .",Tích cực 😄,,,
sau khi qua môn này chắc sẽ không học thầy nữa .,Tiêu cực 😠,,,
"giữa kỳ cộng max là 4 điểm , rồi lại cộng tiếp cho quá trình , giờ thì lại điểm quá trình tính trong 1 bài , không làm được , ít điểm cộng thì đành chịu .",,Tiêu cực 😠,,
nâng cao trang thiết bị phòng học doubledot quạt .,,,Tiêu cực 😠,
điều này tạo cho sinh viên sự chủ động trong học tập .,,,,
nhưng có một vấn đề mà em chưa thích đó là đi sâu vào lý thuyết quá nhiều chưa có giảng dạy cho chúng em nhiều về cách cấu thành sản phẩm .,Tiêu cực 😠,,,
thầy giảng rất ít .,Tiêu cực 😠,,,
thầy dạy đôi khi hơi chán cần thay đổi phương pháp giảng dạy .,Tiêu cực 😠,,,
cô rất nhiệt tình và vui tính .,Tích cực 😄,,,
mong thầy cô xem lại cách giảng dạy môn này .,Tiêu cực 😠,,,
"giảng viên rất nhiệt tình thậm chí dạy lố giờ , dư buổi nhưng vẫn không đảm bảo đủ số bài của chương trình học , không giảng giải bài học một cách rõ ràng , khi dạy chỉ mở slide và đọc tất cả những gì trên slide bài giảng nhưng không giảng thêm gì nhiều hoặc nếu có giảng thêm thì cũng khá khó hiểu , khi sinh viên hỏi lại thì thường chỉ nói lại những gì đã nói lần trước mà không giảng thêm để sinh viên có thể hiểu được bài , slide bài giảng được chuẩn bị sơ sài và có nhiều sai sót , giảng viên thường xuyên ra ngoài nghe điện thoại , ăn , hút thuốc trong giờ dạy , thường xuyên dạy các kiến thức nâng cao trong khi sinh viên chưa hiểu hết kiến thức cơ bản , thường hay nói chuyện nặng lời với sinh viên trong lớp .",Tiêu cực 😠,,,
"bài giảng và bài tập trọng tâm , chi tiết .",Tích cực 😄,Tích cực 😄,,
"phân chia chương trình hợp lý hơn , chia nhỏ lượng kiến thức cần đạt được .",,Tiêu cực 😠,,
cô nhiệt tình giải đáp thắc mắc cho sinh viên .,Tích cực 😄,,,
"thầy hướng dẫn thực hành tốt , nhiệt tình .",Tích cực 😄,,,
"cô wzjwz228 rất nhiệt tình với sinh viên trong giờ lên lớp , rất hay khuyến khích sinh viên đặt câu hỏi , hay tự đặt những câu hỏi xây dựng khuyến khích sinh viên tìm hiểu trả lời .",Tích cực 😄,,,
dạy cho sinh viên biết nhiều về thực tế .,Tích cực 😄,,,
cô than hoài à .,Tích cực 😄,,,
"nội dung môn học không phù hợp , quá nhiều lý thuyết , lý thuyết quá rườm rà và không phù hợp với truyền thống việt nam .",,Tiêu cực 😠,,
cô vui vẻ và nhiệt tình .,Tích cực 😄,,,
"phương pháp giảng dạy tốt , dễ hiểu .",Tích cực 😄,,,
"cô nhiệt tình , thân thiện với sinh viên .",Tích cực 😄,,,
vấn đề nghe từ thiết bị không tốt lắm .,,,Tiêu cực 😠,
giảng viên hay đến muộn .,Tiêu cực 😠,,,
cách giảng cô rất phức tạp vẫn chưa ngắn gọn xúc tích gây khó hiểu ở các công thức tính toán .,Tiêu cực 😠,,,
cách dạy học tăng khả năng tự vận động của học sinh .,Tích cực 😄,,,
đây là môn học khó và cần phải có nền tảng kiến thức từ những môn học cơ bản hơn nó nhưng chương trình k6 thì không có môn nào cơ bản về tín hiệu trước môn xử lý tín hiệu số .,,Tiêu cực 😠,,
"giáo viên nhiệt tình , truyền đạt kiến thức tận tâm .",Tích cực 😄,,,
thầy dạy còn khá khó về thời lượng .,Tiêu cực 😠,,,
hướng dẫn chi tiết nhiệt tình .,Tích cực 😄,,,
em rất thích .,,,,
có tinh thần trách nhiệm .,Tích cực 😄,,,
các dụng cụ còn hư nhiều .,,,Tiêu cực 😠,
"cô nói hơi dài dòng , đôi chỗ hơi khó hiểu .",Tiêu cực 😠,,,
thầy thường chạy trước chương trình học lý thuyết .,Tích cực 😄,,,
"thêm nhiều ví dụ cụ thể , dễ hiểu cho sinh viên vì năm đầu tiên ở trường học môn nhập môn lập trình có nhiều bạn còn bỡ ngỡ , khó hiểu được những kiến thức có thể chưa bao giờ gặp qua này .",,Tiêu cực 😠,,
cho các nhóm tự nghiên cứu và thuyết trình .,,,,
"số lượng sinh viên lớp nên tối đa là 30 , vì đây là môn học cá biệt cần sự tương tác thực tế .",,Tiêu cực 😠,,
giảng viên thường đến lớp trễ .,Tiêu cực 😠,,,
"phiền thầy chỉ giới thiệu nhanh chóng , không cần dành quá nhiều thời gian cho nó , em nghĩ mọi người đã biết từ trước những nội dung cơ bản như vậy ( ít nhất là những người em quen ) .",Tiêu cực 😠,,,
thầy vô cùng hài hước tạo không khí lớp học vui vẻ cho sinh viên .,Tích cực 😄,,,
cô dạy rất tốt và rất nhiệt tình .,Tích cực 😄,,,
"giảng viên giảng chưa được thu hút , gây nhàm chán .",Tiêu cực 😠,,,
nên cần giúp sinh viên thực hành nói nhiều hơn và phương pháp trau dồi từ vựng sáng tạo .,,Tiêu cực 😠,,
"cần nâng cấp phòng học , máy chiếu .",,,Tiêu cực 😠,
"có slide bài giảng , giảng kỹ bài .",,,,
"cô dạy hay , nhiệt tình , cung cấp đầy đủ kiến thức của bộ môn .",Tích cực 😄,,,
bài giảng hay .,,Tích cực 😄,,
giảng viên tận tình .,Tích cực 😄,,,
"giảng viên vui tính , hòa đồng .",Tích cực 😄,,,
bằng chứng là thầy wzjwz56 dạy thay thầy wzjwz57 ở lớp wzjwz58 .,Tiêu cực 😠,,,
giáo viên trao đổi với sinh viên hoàn toàn bằng tiếng anh .,Tiêu cực 😠,,,
cần thêm tài liệu thực hành .,,Tiêu cực 😠,,
tận tình chỉ dạy .,Tích cực 😄,,,
cách ứng dụng lý thuyết vào thực tế .,,,,
"đúng giờ , sát chương trình .",Tích cực 😄,,,
"phòng học còn nóng và bụi bặm , máy chiếu tuy nhìn được nhưng như vậy vẫn là mờ , nếu ngồi xa hay hôm nào sáng quá sẽ khó thấy .",,,Tiêu cực 😠,
"thầy dạy rất hay , nhiệt tình với sinh viên .",Tích cực 😄,,,
hầu hết em và các bạn đều không đi thực hành .,,,,
giảng viên nên tương tác với sinh viên nhiều hơn nữa .,Tiêu cực 😠,,,
thầy rất thân thiện !,Tích cực 😄,,,
không có gì .,,,,Tiêu cực 😠
rất bổ ích và thú vị .,,,,
cải tiến trang thiết bị thường xuyên hơn .,,,Tiêu cực 😠,
thầy giảng dễ hiểu .,Tích cực 😄,,,
"ngoài ra , các mặt còn lại em không có ý kiến .",,,,
"giảng viên truyền đạt tốt , khơi gợi cho sinh viên tự tìm hiểu kiến thức .",Tích cực 😄,,,
"thầy truyền đạt kiến thức rất hay , và dễ hiểu .",Tích cực 😄,,,
môn học rất hay và bổ ích .,,Tích cực 😄,,
không có điều nào không hài lòng .,,,,Tiêu cực 😠
nên rèn kỹ năng nghe và nói nhiều hơn cho sinh viên .,Tiêu cực 😠,,,
thầy có kiến thức chuyên môn sâu .,Tích cực 😄,,,
cách thầy giảng rất hấp dẫn và dễ hiểu .,Tích cực 😄,,,
"giảng dạy tận tình , đi đúng giờ .",Tích cực 😄,,,
"cô dạy quá nhanh , lý thuyết dạy quá nhanh và quá nhiều mà cũng không cần thiết lắm .",Tiêu cực 😠,,,
khá ổn .,,,,
thầy giảng hơi khó hiểu hay tại bài học khó hiểu ?,Tiêu cực 😠,,,
"giảng viên vui vẻ , nhiệt tình .",Tích cực 😄,,,
nên để giảng viên dạy lý thuyết cả thực hành sẽ logic hơn .,Tiêu cực 😠,,,
sinh viên tìm tòi cách khác để có được kết quả giống nhưng không chấp nhận .,,,,
"giảng viên thân thiện , hòa đồng với sinh viên .",Tích cực 😄,,,
"thầy rất tận tâm , tận tình với học sinh .",Tích cực 😄,,,
dạy hơi khó hiểu .,Tiêu cực 😠,,,
cô giảng hay .,Tích cực 😄,,,
giang dạy quá nhiệt tình và tâm huyết truyền đạt cho học sinh kiến thức của cô .,Tích cực 😄,,,
"thầy tận tâm , nhiệt tình , dạy kỹ bài , hướng dẫn giải bài cụ thể .",Tích cực 😄,,,
giảng viên tận tâm nhiệt tình .,Tích cực 😄,,,
"giảng viên nhiệt tình , tương tác tích cực với sinh viên .",Tích cực 😄,,,
giảng viên nhiệt tình giảng giải những thắc mắc của sinh viên .,Tích cực 😄,,,
thầy tạo điều kiện cho sinh viên có thê hoàn thành tất cả các bài lab .,Tích cực 😄,,,
nên cải tiến phòng thực hành .,,,Tiêu cực 😠,
thầy chấm điểm hơi mắc .,Tiêu cực 😠,,,
có dạy thêm ngôn ngữ trung rất thú vị .,,,,
"cách giảng dạy của giảng viên dễ tiếp thu , dễ hiểu .",Tích cực 😄,,,
"thường xuyên đi trễ , giảng dạy không nhiệt tình , dạy khá lang mang , không đảm bảo đúng tiến độ học tập .",Tiêu cực 😠,,,
cô dễ thương quá coloncc .,Tích cực 😄,,,
nêu lên những ví dụ rất hay giúp sinh viên dễ nắm bắt kiến thức .,Tích cực 😄,,,
giảng viên thường xuyên đi trễ vào những buổi gần cuối .,Tiêu cực 😠,,,
giảng viên giảng dạy khó tiếp thu .,Tiêu cực 😠,,,
"giảng viên dạy hay , nhiệt tình .",Tích cực 😄,,,
"rất hài lòng , cô dạy rất vui vẻ .",Tích cực 😄,,,
"cô nói nhanh và nhiều khiến em bị "" quá tải "" .",Tiêu cực 😠,,,
"bổ sung nhiều kiến thức thực hay , nâng cao cho sinh viên .",,Tích cực 😄,,
đảm bảo số giờ lên lớp .,Tích cực 😄,,,
thầy chỉ dạy một buổi nên không đánh giá được .,Tiêu cực 😠,,,
"cô rất nhiệt tình , cô còn có phương pháp giảng dạy gây hứng thú cho người học .",Tích cực 😄,,,
cần có lập trình thực nghiệm các bước và xem rõ cách hoạt động chương trình demo .,,Tiêu cực 😠,,
"cần có các bài lab thực hành để trực quan hơn , sát với thực tế làm việc ở các công ty phần cứng .",,Tiêu cực 😠,,
"giảng viên vui tính , nhiệt tình .",Tích cực 😄,,,
chưa truyền đạt được kiến thức .,Tiêu cực 😠,,,
cần thêm tài liệu .,,Tiêu cực 😠,,
thầy giúp học sinh giải nhiều bài tập .,Tích cực 😄,,,
"nhiệt tình , bài giảng tạo cảm hứng cho sinh viên học tập .",Tích cực 😄,,,
chỉ nhìn mỗi khía cạnh làm slide lý thuyết mà đánh giá cả đồ án của sinh viên một cách rất hời hợt .,,,,
tóm lại em rất hài lòng .,Tích cực 😄,,,
"giảng viên giảng bài còn mơ hồ , phức tạp .",Tiêu cực 😠,,,
"cô dạy rất nhiệt tình và vui vẻ , dạy chi tiết từng tí một .",Tích cực 😄,,,
mong thầy sử dụng micro .,Tiêu cực 😠,,,
"cô đến lớp đúng giờ , giảng dễ hiểu .",Tích cực 😄,,,
"giảng viên tạo áp lực quá lớn cho sinh viên trong khi đây là môn học đòi hỏi sự năng động , sáng tạo .",Tích cực 😄,,,
"cô dạy rất hay và kỹ , dành nhiều thời gian sửa bài tập .",Tích cực 😄,,,
cho bài tập nhiều giúp học sinh có bài tập về nhà làm .,Tích cực 😄,,,
giáo viên truyền đạt kiến thức mập mờ cho sinh viên .,Tích cực 😄,,,
"có cảm giác hà khắc , khá khó chịu .",Tiêu cực 😠,,,
nói chung là em không thể tiếp thu bài trên lớp .,Tiêu cực 😠,,,
"thầy chăm lên lớp giảng dạy , tận tình .",Tích cực 😄,,,
"dạy nhiệt tình , hiệu quả .",Tích cực 😄,,,
"cô điểm danh mình em lúc đầu giờ , cuối giờ mới điểm danh mấy bạn kia colonsadcolon .",Tiêu cực 😠,,,
giải tích 2 .,Tích cực 😄,,,
slide bài giảng hay .,,Tích cực 😄,,
"nên có một số buổi ngoại khóa bên ngoài , tiếp cận thực tiễn , giao tiếp với người nước ngoài .",,Tiêu cực 😠,,
giảm tảibỏ những phần không thật sự cần thiết .,,Tiêu cực 😠,,
thiếu hiệu quả không phù hợp với môn học .,,Tiêu cực 😠,,
dạy lý thuyết tốt .,Tích cực 😄,,,
"không khí học tập sôi nổi , dễ tiếp thu kiến thức .",Tích cực 😄,,,
dạy rất dễ hiểu .,Tích cực 😄,,,
"thầy hiền , nhiệt tình .",Tích cực 😄,,,
kiến thức thực cần tế hơn .,,Tiêu cực 😠,,
"nhiệt tình truyền đạt kiến thức , hài hước .",Tích cực 😄,,,
đôi lúc thầy giảng hơi nhanh .,Tiêu cực 😠,,,
đầu tư thêm máy móc hiện đại .,,,Tiêu cực 😠,
"thầy dạy những nội dung cần thiết , ngắn gọn và dễ hiểu .",Tích cực 😄,,,
giúp đỡ sát sao khi sinh viên gặp vấn đề khó trong thực hành .,Tích cực 😄,,,
đa số sinh viên tự học và không liên hệ đến giảng viên thực hành .,Tiêu cực 😠,,,
phân bổ thời gian hoàn thành môn học hợp lý hơn nữa .,,Tiêu cực 😠,,
thầy dạy rất nhiệt tình và sẵn sàng giải đáp .,Tích cực 😄,,,
thầy rất quan tâm đến điểm số của sinh viên .,Tích cực 😄,,,
"nhiệt tình , giảng hiểu bài .",Tích cực 😄,,,
"cô dạy hấp dẫn , thú vị !",Tích cực 😄,,,
quan tâm sinh viên .,Tích cực 😄,,,
giảng bài hay !,Tích cực 😄,,,
"đây làm môn học cần thực hành nhiều , cần tăng thêm số buổi thực hành .",,Tiêu cực 😠,,
"giảng dạy dễ hiểu , nhiệt tình với sinh viên .",Tích cực 😄,,,
"giảng viên dạy nhiệt tình , dễ hiểu !",Tích cực 😄,,,
thầy hiền dễ tính .,Tích cực 😄,,,
nên để đồ án cuối kỳ các sinh viên được phép làm nhóm .,,Tiêu cực 😠,,
"giảng viên không bao giờ đi dạy , toàn nhờ sinh viên dạy thay , không có trách nhiệm , môn học này chẳng giúp ích được gì , thanks .",Tiêu cực 😠,,,
"giáo trình anh văn dường như không giúp ích cho công nghệ thông tin cũng như những khả năng giao tiếp của sinh viên , sinh viên trung bình khó có thể đạt 5 điểm ở các chương trình anh văn .",,Tiêu cực 😠,,
giáo viên rất nhiệt tình trong việc giải đáp thắc mắc cho sinh viên .,Tích cực 😄,,,
nhiệt tình và quan tâm học sinh .,Tích cực 😄,,,
diễn đạt trong giảng dạy không được tốt lắm .,Tiêu cực 😠,,,
thầy chưa hỗ trợ lớp trong việc giải đáp các câu hỏi cũng như tạo điều kiện cho sinh viên học hỏi .,Tiêu cực 😠,,,
giới thiệu những kiến thức mới cho sinh viên .,Tích cực 😄,,,
"vui , hay .",Tích cực 😄,,,
không biết thầy wzjwz260 là thầy nào ?,Tiêu cực 😠,,,
nên có nhiều bài tập cho sinh viên tham khảo .,,Tiêu cực 😠,,
hầu như giảng viên không giảng mà chỉ dịch slide do slide viết bằng tiếng anh .,Tiêu cực 😠,,,
"giảng viên giảng kỹ , dễ hiểu .",Tích cực 😄,,,
luôn giải thích chi tiết vấn đề thắc mắc của sinh viên .,Tích cực 😄,,,
cho ít đồ án thôi .,Tiêu cực 😠,,,
thầy cho chép quá nhiều .,Tiêu cực 😠,,,
"trang thiết bị phục vụ còn hạn chế , không có nhiều thời gian trực tiếp thực hành .",,,Tiêu cực 😠,
giáo viên dạy rất tệ .,Tiêu cực 😠,,,
giáo viên cần bổ sung thêm các bài tập liên quan nhiều hơn để các bạn sính viên nắm rõ hơn .,Tiêu cực 😠,,,
"môn học này có định hướng thiên về lý thuyết logic nên em nghĩ nên học theo hình thức trao đổi và tham khảo , không nên đặt nặng đồ án và bài tập .",,Tiêu cực 😠,,
"dạy dễ hiểu , tạo cảm giác thân thiện với học sinh !",Tích cực 😄,,,
giảng viên dạy tận tâm .,Tích cực 😄,,,
đồ án lớn không có trong phần giảng dạy khiến sinh viên khó khăn trong việc thực hiện .,Tiêu cực 😠,,,
thầy đi vào trễ nhưng lại về muộn .,Tiêu cực 😠,,,
thầy nên sử dụng micro để giảng .,Tiêu cực 😠,,,
tốc độ dạy khá nhanh khiến việc tiếp thu không hiệu quả .,Tiêu cực 😠,,,
dạy sát với chương trình .,Tích cực 😄,,,
"vui vẻ , nhiệt tình , giảng dễ hiểu .",Tích cực 😄,,,
thời gian nộp bài thực hành quá ngắn .,,Tiêu cực 😠,,
cô dạy dễ hiểu và thân thiện .,Tích cực 😄,,,
"thầy có kiến thức rất rộng , có thể giải thích mọi thắc mắc của sinh viên .",Tích cực 😄,,,
"rèn luyện cho sinh viên kỹ năng làm việc nhóm , nâng cao tính chủ động của sinh viên .",Tích cực 😄,,,
"cô có ôn tập , sửa bài đầy đủ .",Tích cực 😄,,,
nghiêm khắc nhưng rất tận tình .,Tích cực 😄,,,
"giảng viên lý thuyết nên cải thiện kỹ năng truyền đạt , và chuẩn bị bài giảng tốt hơn .",Tiêu cực 😠,,,
quá ít thiết bị cho sinh viên thực hành .,,,,
không có ý kiến gì .,,,,Trung lập 😐
thời gian lên lớp ít nhưng tiếp thu nhiều .,Tiêu cực 😠,Tiêu cực 😠,,
tài liệu giảng dạy đầy đủ .,,Tích cực 😄,,
luôn luôn đúng giờ .,Tích cực 😄,,,
"cô giảng dạy rất chăm chú , tận tình giải đáp thắc mắc của sinh viên .",Tích cực 😄,,,
thầy rất tận tâm và thương yêu sinh viên .,Tích cực 😄,,,
nhiều kinh nghiệm .,,,,
thầy có kiến thức nhiều .,Tích cực 😄,,,
